Requirement_Number,Description
3.2.1.24,"The individual system status (e.g. load, waiting time, logged in Agents (free/busy/pause) of the NG-911 Communication system has to be displayed in a simple graphical web form, filtered by attribute (e.g. Location, called number, timeframe,) to inform the personnel and supervisors."
3.2.2.1,"The system shall support basic VoIP PBX functions, minimum (but not limited to) to the following functions:"
3.2.2.1.1,"Termination of SIP Trunks, provided by the fixed and mobile telco providers"
3.2.2.1.2,Support of incoming as well as outgoing calls via the provided SIP-trunks
3.2.2.1.3,Internal trunking capabilities in order to allow automatic switching to another telco- SIP-trunk if not available of capacity reached without any user/administrator interaction
3.2.2.1.4,"Classification of calls, according to the following criteria: - Called number - Calling number (like prefix, user part, etc.)"
3.2.2.1.5,"Configuration and definition of routing targets according to the dialed number. These targets shall be: - Users - Roles or skills - Working Positions - IVR-Targets / ACD Targets (in order to start an emergency procedure like announcements, etc.)"
3.2.2.1.6,The assignment of number plans to above described targets shall be configurable by a system administrator and applied as the configuration is set active for the next new call (started routing process).
3.2.2.1.7,"The IP PABX system shall at least (but not limited to) support the following agent functions (also used for CTI-clients) - Call queues (display all routed / pending calls to the assigned client) - Accept calls - Terminate calls (also if the external party ends the call) - Transfer calls o Supervised transfers (talk to the transfer target upfront without being heard by the caller prior call transfer) o Unsupervised transfer (directly transferring the call without any further interaction with the transfer target) - Hold Calls - Conferences (see further down) - Toggle calls (switch from one call to another one, by automatically putting the currently active call on hold)"
3.2.2.2,The necessary amount of internal or external extensions for dial in or routing targets shall not be limited by any number and included within the offered licenses.
3.2.2.3,The IP PBX system shall support the use of an CTI application and log into the PBX core to control the different actions of the core.
3.2.2.4,The IP PBX shall support standard VoIP Phones as secondary routing targets for failover mechanisms if the CTI application is not available anymore.
3.2.2.5,"If the CTI or ACD Function is not available / reachable the IP PBX shall route the calls according to configurable routing roles, so that calls can still be processed and handled by the same staff (but potentially without sophisticated voice announcement or routing capabilities like time/skill-based routing)."
3.2.2.6,"A ?text before answer? functionality enables the playback of text messages for waiting calls. Principally, all callers receive an announcement, so that they know that they have dialed correctly and are taken care of. It shall be configurable if the call shall be routed after the text was played (?intro announcement?) or if routing shall be already starting during the text announcement is played to the caller (?ringing announcement?)"
3.2.2.7,"The announcement shall be able to be changed with immediate effect. The predefined standard announcement texts that can only be changed by the administrator must be provided. In addition, at least five freely recordable announcement texts shall be able to be recorded and activated by users."
3.2.2.8,"The text-before-answer functionality shall be able to be switched on and off, line-specifically (e.g. Number or for SIP)."
3.2.2.9,The Communication System must be provided with an own system telephone directory controlled through Role Based Access Control (RBAC) mechanisms. Names stored in the telephony directory must be shown as text on incoming calls (resolution via CLI)
3.2.2.10,"The system telephone directory is fed through the data provisioning from different data sources (NG-911 call-taking, personal database, public telephone directories, telephone directories of the connected telephone systems, etc.) and serves above all for the purpose of being able to provide the telephone directory functionality also in the isolated operation of the NG-911 Communication System."
3.2.2.11,"There must be the function of a ?blind? telephone directory, which is not visible or searchable for call-taker or operators but stored data shall be still displayed if the CLI is recognized. (Government Functions, VIPs,)"
3.2.2.12,The software must have a ?blacklist? of phone numbers and manage the function to refer calls to the answering machine or choose a different time interval till processing (playing a pre- recorded announcement for a given time towards the call). An administrator shall be allowed without any additional programming edit and create different time intervals.
3.2.2.13,"The NG-911 Communication System must be provided with a conference function. Conferences with up to ten parties each must be possible. Random NG-911 Communication System parties (internal, emergency operations center, connected telephone systems, mobile network, landline network, etc.) shall be able to take part in conferences."
3.2.2.14,The conference module of the NG-911 Communication System must function modelled as virtual conference rooms. The virtual conference rooms must be accessible by means of dialing an extension number and secured by access codes. They must be able to be set up and configured from the supervisor or administrator workplaces.
3.2.2.15,"The following functions must be offered by the conference module: - The query of number of parties dialled in with DTMF tone (one keystroke), output as voice announcement, - blocking of conference room by means of DTMF tone (one keystroke), - announcement of a dial-in attempt in the case of a blocked conference room, - attention tone to the conference when a party joins or leaves the conference, - mute switch of individual parties by the party itself by means of a DTMF tone (one keystroke) with robust DTMF recognition, o robust echo compensation also in the case of background noises."
3.2.2.16,An answering machine functionality must be provided for freely configurable extension numbers.
3.2.2.17,"The answering machines must be able to be operated via telephone and through a Web client. Authorizations must be able to be provided for access. The Web client must offer the full functions, the telephone operation only as far as this can be mapped reasonable through DTMF. The operator guidance must be coordinated in the detailed specification / final design."
3.2.2.18,"The announcement texts must both be able to be recorded via the relevant allocated telephones as well as imported in the form of .WAV or MP3 files, whereby access must be protected by passwords."
3.2.2.19,Received messages shall be able to be delivered to an e-mail address as .WAV files or as MP3 files.
3.2.2.20,A remote inquiry functionality shall be available. Access for recording must be protected by passwords.
3.2.2.21,"At least the following functions shall be available for the users: - recording of announcements, - change of announcements, - copying of .MP3 files with the text announcements, - deletion of announcements."
3.2.2.22,The administrator of the client shall be able to configure the general and individual limitation of the recording time of the answering machine for the purpose of limiting the necessary memory.
3.2.3.1,"A clear call ID must be allocated to every call by the NG-911 Communication System. The call ID must serve for clear identification of the call, so that it can be referenced to and so that the call can be associated with a case/action number of the 9-1-1 Data Collection or an NG-911 Communication System file, among other things. Calls that were merely signalized but not attended to must also receive a call ID."
3.2.3.2,"The NG-911 Communication System must monitor independently that every region is allocated to at least one active workplace, i.e. one at which an agent is logged on, at all times. If an agent wishes to deselect a region that would no longer be allocated to an active workplace afterwards, this circumstance must be pointed out to the user by a warning message to be confirmed manually."
3.2.3.3,By means of call associated data in relation to a call -beyond the Call ID- shall be determined and provided for display for external applications (e.g. the incident creation application). This data shall be able to be queried from applications or databases (if not provided via push) by the Communication System through the Communication System interface and displayed in the user software and/or in waiting lists.
3.2.3.4,"Metadata associated to voice calls shall be retrieved through queries to the appropriate platform (e.g. AML, telco operator provided location, , etc.) and processed accordingly. The data shall be transferred to the incident application at request and displayed."
3.2.3.5,"The interface shall be able to process further call associated information to be defined in the detailed specification phase / final design phase. As data structure, for example, a container may be realized in a defined, human as well as machine readable format, which contains the following elements: * call ID * general information: - time, date of the beginning of the call, - workplace at which it was answered, - ID related to voice documentation file - optionally link to voice documentation file, - list of other optional data elements, * CLI: - CLI E164 - 'calling line information', - IMEI if delivered (SIM-less calls) - SIP address, - extension, - caller name resolution (if known) * e-call: - as defined in the standards,"
3.2.3.6,"The interface shall be able to process further call associated information to be defined in the detailed specification phase / final design phase. As data structure, for example, a container may be realized in XML format or similar, which contains the following elements: * Information on location (if delivered): - address of the subscriber, - coordinates (e.g. geo-referenced cellular information of GSM networks for caller localization or GPS coordinates of appropriately equipped mobile telephones, etc.), - specification of accuracy, - source of the coordinates (landline, mobile network, etc.), * Reverse look-up in the public telephone directory (if available): - name, - address, - - other data related to the entry in the telephone directory, * Reverse look-up in the telephone directory of the telephone systems - name, - other data related to the entry in the telephone directory"
3.2.3.7,"There shall be no difference distinguished between the signalization on the client of voice call, data events triggering a communication (SMS, SDS, ..) or multimedia calls"
3.2.3.8,The communication operator client shall also be designed so that it can optionally also be installed on a touch screen in addition or alternatively to the emergency operations control computer.
3.2.3.9,The user interface of the Communication operator client shall be structured clearly and easy to operate.
3.2.3.10,"The configuration of the user interface as well as various types of signalizations to the user (flashing keys, color change of operating elements in the case of status changes, etc.) shall be defined by the Supplier jointly with the user organizations within the course of the detailed design phase."
3.2.3.11,The elements of the user interface and their display shall be configurable. Changes and adaptations shall be able to be performed by the administrator of the client without laborious programming.
3.2.3.12,"The following areas shall be available: * main operating field for telephony incl. numeric dialing pad and the most important controls, * conference facility, * operation of the short-term voice documentation: selection of a call (file), start, stop, 'fast forward', 'fast backward', pause, export as .WAV file, etc., * log data of the workplace in relation to incoming, accepted, and outgoing calls * functional status of the NG-911 communication system (faults) as well as key figures of the NG-911 communication system, such as e.g. call times and waiting times primarily as numerical values, but possibly in the form of bars or graphs for the purpose of faster identification of the displayed information (equivalent to green, orange, red area)."
3.2.3.13,The keypad must be designed like the standard telephone keypad and serve for the entry of call numbers.
3.2.3.14,"The following visual displays must be available: * status of own telephone, * active call data incl. duration of call as well as telephone number of the caller and queried call associated data in relation to the caller, * ringing."
3.2.3.15,"A display field must be available to control numerical entries. The display must show the call numbers and, if known, the names of callers for incoming calls starting with the call signalization (ringing) up to the end of the call."
3.2.3.16,"Furthermore, display fields must be provided for the last calls made (incoming and outgoing). In addition, the queried data must be displayed for these calls and it must be possible to set up the displayed calls again from the list."
3.2.3.17,"An agent shall be able to accept any call from his waiting list, even if the call is signalized at another workplace or is not ordered next in the waiting list."
3.2.3.18,"The waiting list shall always be fully visible and operable, irrespective of other windows opened or the selected tabulator fields."
3.2.3.19,"This operating window/section shall make all telephony functions accessible. The following keys must be provided: o call accept o call terminate , o forwarding, call transfer (internal and external using the same key) o listening in (supervisor assist / barge in) o alphanumerical telephone directory, o multiple destination ringing keys that can be arranged in a structured way o microphone mute, whereby the status of the microphone (switched to mute/on) must be displayed very clearly o activate/deactivate external loudspeaker, whereby the status of the external loudspeaker (switched to mute/on) must be displayed very clearly, o volume control for acoustic call signalization (ringing), o pause function."
3.2.3.20,"Calls in the waiting list shall be marked in different colors by category, whereby the following categories must be differentiated: o emergency calls (e.g. red), o non-emergency calls (e.g. black), o calls for other workplaces (e.g. grey)."
3.2.3.21,"All calls waiting for the emergency operations center shall be marked in color, together with the information at which workplaces they are signalized."
3.2.3.22,The NG-911 Communication System operator client shall offer a window or an interface in which the audio signals from varying sources can be switched to the varying output devices.
3.2.3.23,The relevant active loudspeaker(s) shall be able to be switched to mute easily.
3.2.3.24,The short-term voice documentation system is operated in this tab.
3.2.3.25,A separate area must be provided for conference management for the setup and management of telephone conferences
3.2.3.26,The audio switching matrix must be controlled by the software client of the NG-911 Communication System.
3.2.3.27,"The following audio services are connected to the audio switching matrix: .1 VoIP Telephone / Handset .2 workplace computer (computer tones), .3 headset Quick Disconnect (QD), .4 external loudspeaker of the workplace, .5 jack for monitoring loudspeaker .6 voice documentation system."
3.2.4.1,The NG-911 Communication System must support call profiles. The option must be provided at the workplaces to select or deselect individual emergency calls from single regions.
3.2.4.2,The ACD core function shall signalize incoming calls or display them in waiting lists exactly at those main workplaces at which they shall be handled.
3.2.4.3,"Emergency calls and other calls must be allocated according to operator profiles. Each operator has a standard profile selected when the relevant agent logs on to a workplace. In addition, it must be definable in the operator profiles (applied for the workplace for the time the agent is logged in) from which regions calls are allocated and from which regions calls can be picked up."
3.2.4.4,"A sorted waiting list shall be generated for every workplace based on the operator profile. Principally, all calls can be seen by all workplaces, whereby a filter can be activated for the individual workplaces that orders the calls of selected regions first. Emergency forces returning calls must be identified."
3.2.4.5,The ACD shall provide generation and management of agent-specific / role-specific waiting lists.
3.2.4.6,"The ACD shall provide intelligent waiting list management by ordering waiting calls from all voice interfaces jointly, namely from o emergency call lines, o non-emergency calls, o extensions of the NG-911 Communication System, o other SIP calls"
3.2.4.7,"The system shall support sequencing of incoming calls by o priority, o caller (if he can be identified by means of the caller associated data), e.g. to order calls from own emergency forces first, o for emergency calls: region from which the call was made (if identifiable from the CLI), and o arrival of the call request (waiting time)."
3.2.4.8,Incoming calls shall be managed and ordered through waiting lists (calling queue) at the workplaces.
3.2.4.9,The allocation and ordering of calls to the workplace(s) shall be performed according to an allocating algorithm - defined in detail with the customer- which takes the priorities of the calls as well as the allocation method desired by the users into account. Waiting calls shall be shown in the waiting list at every workplace from which calls can also be picked-up actively.
3.2.4.10,"Calls shall be allocated to the workplaces switched active and agent logged in. For this purpose, allocating algorithms must be implemented, which can be predefined and activated by the administrator of the client in any free configuration. The change of the allocating algorithm shall become effective immediately (for the next call entering the system)."
3.2.4.11,"At least two allocating algorithms shall be pre- configured, namely o allocation of the call waiting longest with highest priority to the main workplace that is free longest, and o allocation of the call waiting longest with highest priority to the first free main workplace along a sequence of workplaces."
3.2.4.12,"After a lapse of time (approx. 10 sec), a waiting call shall be signalized at the next main workplace logged on in accordance with the active allocating algorithm."
3.2.4.13,"Workplaces shall be able to be switched to pause. No calls are allocated in this condition. When switched to pause, it must be checked in analogy to the logoff of a workplace whether the workplace is the last of his role/function and the pause switch must be rejected with a qualified warning information, where applicable."
3.2.4.14,"After every emergency call, no new calls shall be allocated to a main workplace during a configurable follow-up/wrap-up time. If all operator?s consoles in question are engaged, the call shall be allocated to the operator?s console that has been free longest. In the case that a longer follow-up time or pause etc. is required, operator?s consoles shall be able to be switched to ?not available? manually."
3.2.4.15,"Re-callers, i.e. callers with the same CLI on the same call number within a configurable time (e.g. last 120 minutes) shall be identified by the Communication system, e.g. by means of the own log data, and allocated to the main workplace from which the call was attended to the last time, insofar as this workplace is still switched active with the same agent. (last agent routing)"
3.2.4.16,"Callers of emergency calls that were ended by the caller before they were accepted in the emergency operations center must also be added to the waiting list (incl. the allocation of a call ID) and marked as such. When the call is processed by the agent, it shall be set up outgoing to the telephone network, irrespective of the fact that the call was ended by the caller himself, as an emergency case may be on hand In addition, the option shall be provided to delete the unattended call without a call setup (rejected)."
3.2.4.17,An incoming call shall be given priority based on the call number dialed or the recall identified by the Voice Communication. At least ten priorities must be provided. The allocation of priorities shall be able to be configured without limitation and easily by the administrator of the client. Calls must be ordered by priority and within the priority as they come in.
3.2.4.18,"For every waiting list, a configurable time criterion shall be definable, after the expiry of which an unattended call is rowed one step higher in the priority. This way, it shall be ensured that calls with a low priority do not keep rowed to the back permanently."
3.2.4.19,"After a priority-specific configurable emergency case timeout (e.g. 30 s for emergency calls, three minutes for calls, five minutes for internal calls, etc.), call shall be escalated and signalized at all workplaces where an agent is logged in, irrespective of the busy/ pause status. In addition, the incident shall be reported to the network management system as fault."
3.2.4.20,The parameters of the NG-911 communication system in relation to processed as well as waiting calls shall be assessed continuously and monitored for configurable threshold values.
3.2.5.1,A short-term voice documentation system shall be accessible centrally and offer playback of conversations that happened minimum 12 hours before.
3.2.5.2,"At every workplace, the most recent conversations held there, e.g. within a period of 12 hours, must be able to be played back at any time. This way, the emergency operations center staff have the option to research information that was not or badly understood by them during the acceptance of emergency calls."
3.2.5.3,"For confidentiality reasons, the playback of voice recordings shall be secured by an authority-controlled access."
3.2.5.4,A short-time voice documentation system shall record and play back all conversations of a workplace since the logon at the workplace.
3.2.5.5,"The playback of a short-time voice documentation system must be able to be performed directly at the main workplaces (headsets, loudspeakers etc.)."
3.2.5.6,The short-term voice documentation must be operated through a tab area of the Voice Communication operator client.
3.2.5.7,"Direct search in the short-time voice documentation system, of a conversation based on the call number, the time, etc. shall be possible."
3.2.5.8,Simple skipping forward and backward between the recorded conversations shall be possible in the short-time voice documentation system.
3.2.5.9,The option to move 'forward' and 'fast forward' as well as 'backward' and 'fast backward' shall exist in the short-time voice documentation system.
3.2.5.10,"Targeted skipping to a specific time in the conversation just heard must be possible (e.g. ?2.15 after the beginning of the conversation?), whereby the time position shall be controllable by the operator."
3.2.5.11,The individual voice recordings must be able to be exported in the form of .MP3 or .WAV files so that the recordings are managed in the archiving system.
3.2.5.12,All exports and access to individual voice recordings must be logged.
3.2.5.13,The long-term voice documentation shall be supported in order to offer a complete court- utilizable operational documentation of all conversations held via the NG-911 communication system within the scope of inquiry and reasoning
3.2.5.14,"All recordings incl. provided meta-data shall be stored for at minimum 5 years. Within this timeframe, the record itself shall be shown for any matching query within the long-term voice documentation application. As the threshold of 5 years is reached, all records older than that shall be deleted automatically (incl. provided meta-data)."
3.2.5.15,"The voice documentation system must support different search functions, e.g. by record ID, date, time, call ID, operation number of the NG-911 Personnel, attributes of the call, etc.."
3.2.6.1,"The incident creation application is the central software platform for processing incidents. It must support the call center agent in all aspects of processing incidents, starting with the acceptance of an incidents over alarming up to documentation. A geographic information system (GIS) that supports the call center agent visually in their activities must be integrated in the NG-911. Functionalities in the incident creation application and GIS must be integrated functionally and contextually."
3.2.6.2,The incident creation application shall be operated through the workplaces in the emergency operations center and the remote workplaces at the PSO.
3.2.6.3,"The incident creation application shall include the usual basic functionalities for the operation of an emergency operations center in the area of police, fire brigade, ambulance services and civil protection."
3.2.6.4,"A new incident with an associated entry mask must be opened automatically upon - acceptance of a verbal emergency call (e.g. telephone, mobile network), - receipt of a message from alarm indication facilities (e.g. fire alarm analysis center) or a danger indication system, - Emergency call SMS."
3.2.6.5,The mask for opening an incident must also be able to be opened manually and start the creation of an incident as well.
3.2.6.6,The primary information required for response to the incident in accordance with stored alarming plans (mandatory fields) must be able to be entered or amended quickly in a simple way.
3.2.6.7,"All available caller information must be taken up in the mask for acceptance of incidents during the acceptance of emergency calls. All databases available connected to the system (address database in the incident creation application, address directories, etc.) must be used for the caller identification."
3.2.6.8,The proposed incident creation application must be able to retrieve caller location data from the location servers if available on the ESInet.
3.2.6.9,The proposed incident creation application must be able to import multiple location data (i.e. data originated from multiple sources) from the location servers
3.2.6.10,The proposed incident creation application must be able to rebid location information to the location servers
3.2.6.11,The caller location must be displayed on maps (GIS) as soon as it is received. It must be possible to choose which data to display on maps if data are from multiple sources
3.2.6.12,"Should the location servers provide no localization, the operator must be put in the conditions of being supported by multi-layered maps in figuring it out basing on caller's provided information"
3.2.6.13,"Once a localization has been defined on maps, it must be possible to import coordinates and reverse geo-code them into the incident record"
3.2.6.14,"If the caller location corresponds to the incident location, the incident creation application must allow the automatic import of relevant data from the former to the latter"
3.2.6.15,"The incident management must allow the possibility to attach relevant documents to an incident location (* .pdf, * .xlsx, * .docx, * .odf, * .odt, * .ods, * .html files, images, internal and/or external URLs)"
3.2.6.16,"All available information must be taken up in the mask for acceptance of an incidents during the signalization by an alarm indication facility or danger indication system (fire, burglar, sensor, CCTV)."
3.2.6.17,"The incident creation application must be provided with an address verification. If operations are accepted, the address allocated to the operation must be verified through an address database. During entry of the address, proposals must be made by the incident creation application for the correct address, which can be accepted by pressing a key (e.g. tabulator) or by a mouse click."
3.2.6.18,A phonetic check of the entry with the stored address data shall be possible during the address verification.
3.2.6.19,"The address section of the incident record must include the following information: o county o municipality; o postal-code (ZIP code) o district o street 1; o street 2 (for intersections); o civic number; o free text data (e.g. buzzer number, apartment number, floor, ...) o Latitude (decimal or sexagesimal coordinates must be supported) o Longitude (decimal or sexagesimal coordinates must be supported)"
3.2.6.20,"If an address cannot be verified correctly because this address does not exist in the stored address data, the next higher or next lower house number available in the system (respectively for even or odd house numbers) shall be proposed with a relevant remark."
3.2.6.21,"The proposed solution must integrate the what3words service (please refer to www.what3words.com for details) for geolocating calls. The software must be able to use the combinations of words from the what3words service in the same input line where the caller address is inserted, without the necessity for the call taker to require a switch of input line or without invoking another service. The input from manual address typing to what3words typing must be seamless"
3.2.6.22,"All caller information taken up or amended in the course of acceptance of the incident (that is at least the first name, surname, complete address, telephone number(s)) must be saved in the database and must be available for a renewed address verification."
3.2.6.23,A defined incident code (respond code) must be able to be allocated to the incident. An unlimited number of incident codes must be definable. A later amendment and change of the incident codes by the users must be possible.
3.2.6.24,"The proposed incident applications must provide operators with the list of measures that have to be undertaken to meet ERC / PSO standard operating procedures. Measures are the ""To Do List"" which must be composed by at least the following actions: ""send mail to"", ""make a call to"", ""read instructions"", ""send a SMS to"". Measures must be configurable and the list must be dynamically composed basing on the incident type, location and time of creation. For a single measure it must be possible to configure whether it is mandatory and the operator must be put in the position to append narratives for each of them"
3.2.6.25,The proposed incident applications must provide incident classification as a tree shaped structure where a main classification can be associated to up to five sub-classifications. Incident priority must be automatically assigned once the classification has been entered
3.2.6.26,"It must be possible to nominate (configure) a role for a particular geographic area; e.g. a coordinator with competence on region ""A"" must access different data than a coordinator with competence on region ""B"""
3.2.6.27,It must be possible to specialize a role for a particular PSO; e.g. a Fire personnel must access different data from medical personnel
3.2.6.28,"Incident data access must be made possible to supervisors and to call takers/specialists or coordinators that have been actually involved in the incident. The incident management application must make it possible to create multi- agency incidents, e.g. incident for which Fire and Medical PSO?s are simultaneously involved"
3.2.6.29,The input mask of the incident creation system must be configurable per PSO or type of incident
3.2.6.30,All data used for the incident handling have to be freely manageable by the administrator of the system
3.2.6.31,It must be possible to allocate an alarm level (at least 1 to 5 or a textual equivalent -> ?alarm code?) to the incident in order to inform the coordinator on the urgency of the incident.
3.2.6.32,An automatic link between the incident code and an allocated alarm level shall be possible.
3.2.6.33,It must be possible to add notes to an incident in a free text field.
3.2.6.34,An automatic identification and visualization of neighboring incident (within a certain radius around the new incident location) shall be given.
3.2.6.35,"An automatic verification for possible multiple alarming or simultaneous past incident with the same incident location, etc. shall be performed for a configurable radius of location of the currently created incident."
3.2.6.36,"Data entered must be visible for other clients instantly, based on user rights and filter (location, incident type, caller ID.)."
3.2.6.37,"An interaction as assist/specialist request (CTI Function barge-in, supervisor assistance) on that incident must be possible from other clients."
3.2.6.38,"The incident application must provide the possibility for multiple call takers to work on the same incident, in particular it must be possible for more than one call taker to work on incident measures"
3.2.6.39,There shall be a possibility to copy & duplicate incidents.
3.2.6.40,A phonetic and logical check of the entries for consistency with the information of the databases and configuration files stored in the system shall be possible.
3.2.6.41,"The takeover of the incident into the system and the release for coordination must not be performed until all mandatory fields in the mask for acceptance of an incident are completed. This does not exclude the function of the pre-alert to the coordinator (pre-alert: info to coordinator about likely happening of a critical incident in his area, enabling him to trigger an alarm reducing the intervention time)"
3.2.6.42,"Any new incident must be identified using an identification number that is clear & unique within the entire system, as well as the date and the time."
3.2.6.43,It must also be possible to determine the location/ workplace & user creating the incident from the identification.
3.2.6.44,"The incident waiting for coordination must be displayed in a separate window (operational overview). A differentiation of incident by color (e.g. by type of operation, alarm level) must be provided for easier orientation of the call center agent."
3.2.6.45,The selected - in incident creation fields displayed - incident must be identified (marked) in the waiting for coordination display in the separate window (operational overview)
3.2.6.46,The created incident must also be displayed in the GIS and identified by color or different symbols and with their incident number and code. The color display must be consistent with the color selection in the tabular display.
3.2.6.47,The links with calls shall be able to be performed automatically by selection during the conversation or immediately afterwards.
3.2.6.48,The links to the voice recording shall be taken over into the operational log automatically.
3.2.6.49,"It must be possible to allocate an incident journal to every incident, in which the inputs & changes taken by the agent during the relevant incident creation are recorded chronologically (operationally-related part of the logging). The incident journal must be able to be supplemented by manual entries and notes. A manual link with calls and related to this operation as well as a link to the voice recording must be possible."
3.2.7.1,The geographical information system (GIS) must be able to display location related data clearly and thus to give the personnel a quick overview of the current situation.
3.2.7.2,"The GIS shall be closely linked with the other NG- 911 applications. The context menu of individual objects available in the incident management application must also be retrievable from the GIS. As a result, it must be possible e.g. to alarm a fire brigade through the context menu of a symbol in the GIS."
3.2.7.3,The maps viewer module must provide the possibility for personnel to freely open and close all available geo-coded layers
3.2.7.4,"The caller location must be displayed on maps (GIS) as soon as it is received. For AML as radius with the option to rebid from the AML server respective to switch the source of AML (GPS, WIFI, network) For Cell ID as sector where possible respective cone of main cell direction. For other apps delivering location information together with the call: radius respective pin- point. It must be possible to choose which data to display on maps if data are from multiple sources"
3.2.7.5,It must be possible to zoom over various maps or scales continuously.
3.2.7.6,Imprints and symbols must be adjusted automatically during zooming in accordance with the selected display.
3.2.7.7,"The application offered for the GIS shall support the following tools: - drawing in of stretches and polygons, - measurement of distances, - measurement of surfaces, - determination of the access route."
3.2.7.8,A tight link must exist between the mask- oriented activities during coordination and incident processing and the graphical display of the situation.
3.2.7.9,"For this purpose, major aspects during incident management must also be displayed in the GIS (e.g. operational location, responsible organization, alarmed organization, etc.). Updates must also be carried out in near real time in the GIS area (without manual refresh of the application)."
3.2.7.10,"When objects or symbols are clicked in the GIS, the stored data information must be able to be retrieved and displayed from various databases."
3.2.7.11,It must be possible from the GIS to create an incident at any location (incl. transfer of calling place into the mask for incident acceptance).
3.2.7.12,"When an incident is created at a free determined location, the associated address, coordinates, or an associated point of interest (POI) should be transferred as calling place, where applicable."
3.2.7.13,Address visualization during the entry into the incident creation application (for known addresses in accordance with the stored address data) must be provided.
3.2.7.14,"An address visualization for untraceable address objects should be possible in as much as that the next higher or next lower (either even or odd) known address is displayed, in order to at least be able to set the map sector to the correct area this way."
3.2.7.15,Determination of the responsible PSO Intervention Location (Station with Resources) from the area maps must be possible. The responsible PSO Location determined in this way must be able to be transferred into the incident management application and the relevant alarming plan must be launched.
3.2.7.16,It must be possible to create different alarm areas in the GIS (polygons). It must also be possible to define geographically limited exceptions with other responsibilities (?overlapping alarm layer?) within an alarm area or to define different responsibilities based on time.
3.2.7.17,"GIS must be able to provide status display and position of - organizational units - operational resources (salvaging shears, crane, etc.)"
3.2.7.18,"GIS must be able to provide display of hazards, treats, cautions and other object related data"
3.2.7.19,The proposed solution must integrate public available data from ?Waze?. The GIS must be able to show data from ?Waze? using the original colors and icons provided by ?Waze?. The data to be represented includes at minimum: - roadblocks - traffic jams - traffic conditions
3.2.7.20,GIS must be able to provide display of alarm indication facilities incl. alarming plan for this alarm indication facility
3.2.7.21,GIS must be able to provide display of CCTV Camera Location incl. a link to access the CCTV to open if permitted
3.2.7.22,"GIS must be able to provide display of PSO Intervention Locations as, police stations, fire brigade houses, etc."
3.2.7.23,GIS must be able to provide display of operational areas along with operating PSOs
3.2.7.24,GIS must provide regional and provincial overviews
3.2.7.25,"GIS must be able to provide context menu functionality - POI features - alarming plans for buildings, homes, etc."
3.2.7.26,GIS must provide query and search option by - operational resources - special operational resources - operational resources not in operation within a specific radius of a calling place.
